Diagnosis,Section,Section_Hint,Esophagus,GE Junction,Stomach,Duodenum,,,,,Default_Sub_Location,Subsection,Subsection_Hint,Conditional_on,Multi_Attribute,Default_Attr,Attribute1,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
Normal,,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,
Mucosa,Erythematous,,x,,x,x,x,,x,x,,,,,,,Localised,Patchy,Focal,Generalised,,,,,,,,
Mucosa,Edematous,,x,,x,x,x,,x,x,,,,,,,Localised,Patchy,Generalised,,,,,,,,,
Mucosa,Granular,,,,x,x,x,,x,x,,,,,,,Localised,Patchy,Generalised,,,,,,,,,
Mucosa,Nodular,,x,,x,x,x,,x,x,,,,,,,Localised,Patchy,Generalised,,,,,,,,,
Mucosa,Friable,,,,x,x,x,,x,x,,,,,,,Localised,Patchy,Generalised,,,,,,,,,
Mucosa,Hemorrhagic,,x,,x,x,x,,x,x,,,,,,,Localised,Patchy,Generalised,,,,,,,,,
Mucosa,Petechial,,,,x,x,x,,x,x,,,,,,,Localised,Patchy,Generalised,,,,,,,,,
Mucosa,Sclerosis/scarring,,x,,x,x,x,,x,x,,,,,,,Yes,No,,,,,,,,,,
Mucosa,Scalloping,,,,,x,x,,,,,,,,,,Yes,Patchy,,,,,,,,,,
Mucosa,Pathological vascular pattern,,x,,x,x,x,,x,x,,,,,,,Yes,Generalized,,,,,,,,,,
Mucosa,Melanosis,,,,,,,,,x,,,,,,,Yes,No,,,,,,,,,,
ChromoEndoscopy,Stain Used,ChromoEndoscopy_600x330.png,x,,x,,,,,,,,,,x,,Lugol’s Iodine,Acetic acid,Indigo carmine,Methylene blue,Other (specify): alphanum_box,,,,,,,
ChromoEndoscopy,Pre-staining Assessment,Describe lesion BEFORE stain,x,,x,,,,,,,Lesion type,,,,,Flat,Slightly elevated,Depressed,Nodular,Irregular mucosa,Patch of altered color,Vascular pattern abnormal,,,,,
ChromoEndoscopy,Findings AFTER STAINING,Select stain-specific fields,x,,x,,,,,,,Lugol’s Iodine Reaction - Staining pattern,,Section(Stain Used=Lugol’s Iodine),,,Uniform deep brown staining (normal),Heterogeneous staining,Faint staining,Iodine-voiding area(s) → pale / unstained patch,,,,,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Lugol’s Iodine Reaction - Characteristics of iodine-voiding area,,Section(Stain Used=Lugol’s Iodine),x,,Single lesion,Multiple lesions,Well-demarcated border,Irregular border,Flat,Slightly elevated,Depressed,Surrounding mucosa stains normally,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Lugol’s Iodine Reaction - Pink-color sign (after 1–3 minutes),,Section(Stain Used=Lugol’s Iodine),,,Present (high-risk),Absent,Not assessed,,,,,,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Lugol’s Iodine Reaction - Size of unstained lesion,,Section(Stain Used=Lugol’s Iodine),x,,int_box mm,Circumferential involvement,,,,,,,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Acetic Acid Reaction - Acetowhitening response,,Section(Stain Used=Acetic acid),,,Uniform whitening (normal),Patchy whitening,Delayed whitening,No whitening,,,,,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Acetic Acid Reaction - Fade time (loss of whitening),,Section(Stain Used=Acetic acid),,,>30 seconds (normal),10–30 seconds,<10 seconds (suspicious for dysplasia),,,,,,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Acetic Acid Reaction - Surface features after whitening fades,,Section(Stain Used=Acetic acid),,,Irregular surface pattern,Nodular area,Depressed area,Irregular pit pattern,Abnormal vascular pattern,,,,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Indigo Carmine Contrast Enhancement,,Section(Stain Used=Indigo carmine),,,Mucosal topography enhanced evenly (normal),Uneven pooling,Highlighted depression,Highlighted nodularity,Abnormal pit pattern revealed,,,,,,,
ChromoEndoscopy,Findings AFTER STAINING,,x,,x,,,,,,,Methylene Blue Uptake,,Section(Stain Used=Methylene blue),,,Uniform blue staining,Patchy uptake,Loss of uptake area,Irregular uptake pattern,Non-staining suspicious zone,,,,,,,
ChromoEndoscopy,Targeted Biopsy Plan,,x,,x,,,,,,,,,,,,Targeted biopsy taken from abnormal stained area,Mapping biopsy,EMR planned,ESD planned,No biopsy (reason): alphanum_box,,,,,,,
ChromoEndoscopy,Overall Impression Based on Chromoendoscopy,,x,,x,,,,,,,,,,,,No suspicious features,Suspicious for low-grade dysplasia,Suspicious for high-grade dysplasia,Suspicious for early carcinoma,Multifocal lesions,Indeterminate — requires histology,,,,,,
Angioectasia,Number,,x,x,x,x,,,,,,,,,,,Single,Multiple,,,,,,,,,,
Angioectasia,Number,,x,x,x,x,,,,,,Count,,Section(Number=Multiple),,,int_box,,,,,,,,,,,
Angioectasia,Size,,x,x,x,x,,,,,,,,,,,<5 mm,5-10 mm,>10 mm,Specify: alphanum_box,,,,,,,,
Angioectasia,Pattern,,x,x,x,x,,,,,,,,,,,Flat,Slightly Raised,Clustered,Diffused,,,,,,,,
Angioectasia,Likely Etiology,,x,x,x,x,,,,,,,,,,,"Degenerative angioectasia (isolated, elderly-type)",Portal hypertensive–associated,CKD / valvular heart disease–associated,Diffuse vascular ectasia pattern,Indeterminate vascular lesion,,,,,,,
Angioectasia,Bleeding,,x,x,x,x,,,,,,,,,,,Oozing,Spurting,Adherant Clot,No,,,,,,,,
Angioectasia,Telangiectasia,,x,x,x,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Angioectasia,Therapy Done,,x,x,x,x,,,,,,,,,x,,APC,Coagulation Probe,Adrenaline Injection,Hemoclip,Hemo Spray,Other alphanum_box,,,,,,
Angioectasia,Hemostasis Achieved,,x,x,x,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Bleeding of unknown origin,Active Bleeding Seen,,x,,x,x,,,,,,,,,,,Yes,No,,,,,,,,,,
Bleeding of unknown origin,Bleeding Pattern,,x,,x,x,,,,,,,,,x,,Altered Blood,Fresh Blood,Clots,,,,,,,,,
Bleeding of unknown origin,Next Therapy Planned,,x,,x,x,,,,,,,,,x,,CT Angio,Interventional Radiology,Relook Endoscopy,,,,,,,,,
Candidiasis,Kodsi Classification Grade,,x,,,,,,,,,,,,,,I (Few plaques),II (Multiple plaques),III (Confluent/linear),IV (Friable mucosa),,,,,,,,
Candidiasis,Biopsy taken,,x,,,,,,,,,,,,,,Yes,No,,,,,,,,,,
